Asset,Header,Property
ALS,Generic,created_time
ALS,Generic,data_set_id
ALS,Generic,description
ALS,Generic,external_id
ALS,Generic,id
ALS,Generic,label
ALS,Generic,last_updated_time
ALS,Generic,name
ALS,Generic,parent_id
ALS,Generic,root_id
ALS,Generic,source
ALS,Metadata,Capacity
ALS,Metadata,Diameter
ALS,Metadata,Manufacturer
ALS,Metadata,Motor_Amperage
ALS,Metadata,Motor_Model
ALS,Metadata,Motor_Power
ALS,Metadata,Motor_Voltage
ALS,Metadata,Pump_Feature
ALS,Metadata,Pump_Series
ALS,Metadata,Pump_Type
ALS,Metadata,Stages
ALS,Metadata,Type
Completion,Generic,created_time
Completion,Generic,data_set_id
Completion,Generic,description
Completion,Generic,external_id
Completion,Generic,id
Completion,Generic,label
Completion,Generic,last_updated_time
Completion,Generic,name
Completion,Generic,parent_id
Completion,Generic,root_id
Completion,Generic,source
Completion,Metadata,Type
Compressor,Generic,created_time
Compressor,Generic,data_set_id
Compressor,Generic,description
Compressor,Generic,external_id
Compressor,Generic,id
Compressor,Generic,label
Compressor,Generic,last_updated_time
Compressor,Generic,name
Compressor,Generic,parent_id
Compressor,Generic,root_id
Compressor,Generic,source
Compressor,Metadata,Horsepower
Compressor,Metadata,Manufacturer
Compressor,Metadata,Model
Compressor,Metadata,Power_Source
Compressor,Metadata,Status
Compressor,Metadata,Type
Contract,Generic,created_time
Contract,Generic,data_set_id
Contract,Generic,description
Contract,Generic,external_id
Contract,Generic,id
Contract,Generic,label
Contract,Generic,last_updated_time
Contract,Generic,name
Contract,Generic,parent_id
Contract,Generic,root_id
Contract,Generic,source
Contract,Metadata,EndDate
Contract,Metadata,StartDate
Contract,Metadata,SubType
Contract,Metadata,Type
decanter,Generic,created_time
decanter,Generic,data_set_id
decanter,Generic,description
decanter,Generic,external_id
decanter,Generic,id
decanter,Generic,label
decanter,Generic,last_updated_time
decanter,Generic,name
decanter,Generic,parent_id
decanter,Generic,root_id
decanter,Generic,source
decanter,Metadata,Type
Engine,Generic,created_time
Engine,Generic,data_set_id
Engine,Generic,description
Engine,Generic,external_id
Engine,Generic,id
Engine,Generic,label
Engine,Generic,last_updated_time
Engine,Generic,name
Engine,Generic,parent_id
Engine,Generic,root_id
Engine,Generic,source
Engine,Metadata,Type
Facility,Generic,created_time
Facility,Generic,data_set_id
Facility,Generic,description
Facility,Generic,external_id
Facility,Generic,id
Facility,Generic,label
Facility,Generic,last_updated_time
Facility,Generic,name
Facility,Generic,parent_id
Facility,Generic,root_id
Facility,Generic,source
Facility,Metadata,SubType
Facility,Metadata,SurfaceCoordX
Facility,Metadata,SurfaceCoordY
Facility,Metadata,Type
Field,Generic,created_time
Field,Generic,data_set_id
Field,Generic,description
Field,Generic,external_id
Field,Generic,id
Field,Generic,label
Field,Generic,last_updated_time
Field,Generic,name
Field,Generic,parent_id
Field,Generic,root_id
Field,Generic,source
Field,Metadata,SubType
Field,Metadata,Type
Filter,Generic,created_time
Filter,Generic,data_set_id
Filter,Generic,description
Filter,Generic,external_id
Filter,Generic,id
Filter,Generic,label
